Date,Open,High,Low,Close,Volume
2012-01-03,-1.3723090018924746,-1.3401203591750928,-1.3552547587333361,-1.3316037981579971,1.85703730979716
2012-01-04,-1.3326788243671792,-1.3333233649751532,-1.327955367425531,-1.3221897748892002,1.1396684193326738
2012-01-05,-1.3421584681606054,-1.3537143475749718,-1.3425017584143617,-1.3526043116037745,1.5095019672399672
2012-01-06,-1.3519672662524145,-1.3666547788402414,-1.3638231808226475,-1.38213011185591,0.9885947795346536
2012-01-09,-1.3934407078486537,-1.4090052811629412,-1.458275089435055,-1.47258373403302,3.751856996381762
2012-01-10,-1.448343644818914,-1.4519439849067899,-1.4726222147939012,-1.4703783509595612,2.4918984423981563
2012-01-11,-1.4688170421783275,-1.4663222418682007,-1.4586736206950228,-1.461095992351866,0.729944393609717
2012-01-12,-1.4435379920625242,-1.4549503477259942,-1.4408725577497872,-1.449015759695753,0.2666518982291214
2012-01-13,-1.4597982144026374,-1.4742956389104374,-1.4588728863250067,-1.4642888603835909,0.6481403266448501
2012-01-17,-1.4410364193948146,-1.4578913548317372,-1.4435958546929013,-1.452504873214957,0.29673468414523374
2012-01-18,-1.458613258928459,-1.4512904277721805,-1.4553525268619565,-1.4382850898159354,1.049332100222009
2012-01-19,-1.411478363400034,-1.4285466394877675,-1.4244663542144391,-1.4164287560729945,4.17802979686002
2012-01-20,-1.5769771446269332,-1.5912823660055506,-1.5891261864578692,-1.5922998271400617,7.9489333998533995
2012-01-23,-1.5917890880541614,-1.5989289844804824,-1.584277389461592,-1.593846886908011,1.6242915450777642
2012-01-24,-1.5907357942993365,-1.6021314144400691,-1.6013478117635531,-1.6089224906041955,1.3089940418137156
2012-01-25,-1.6196355416973511,-1.6313454183571172,-1.6398060783504615,-1.6464798351835563,3.014696799393518
2012-01-26,-1.6378048589680845,-1.645070118183918,-1.6458504691266422,-1.6510551821568527,1.4594519520754412
2012-01-27,-1.641754710548679,-1.6260516055667797,-1.6300420624812464,-1.6120495263053696,1.80492020261793
2012-01-30,-1.6178581084860837,-1.6270972969821547,-1.6165584215189972,-1.6195544119881864,0.6686353240672307
2012-01-31,-1.6016637170056471,-1.6140915100034243,-1.6107797182494616,-1.611621616156788,0.5025202913111543
2012-02-01,-1.59527812361702,-1.6091898314938524,-1.5975617647938576,-1.6092516522569509,0.659971129877941
2012-02-02,-1.5955414470557263,-1.6062488243881095,-1.587864170801304,-1.5951964496843067,0.7429626752342334
2012-02-03,-1.5765163286091972,-1.5715449405403412,-1.5680704515562283,-1.5583632607410074,1.408522323287637
2012-02-06,-1.5622968629190581,-1.526776276819586,-1.5483431541878143,-1.5164938985105547,1.8597641120293222
2012-02-07,-1.5224691928147327,-1.5314165324753137,-1.5161285440070706,-1.5240975326891981,0.45809980333560824
2012-02-08,-1.5175977091986663,-1.5250770282696011,-1.5128738720506656,-1.5139922699496158,0.232346966921274
2012-02-09,-1.506472293913326,-1.5148161812562306,-1.4987924341984642,-1.5086927673402584,0.6105368442497097
