Close,High,Low,Open,Volume,Date,Open_s,High_s,Low_s,Close_s,Volume_s
2.4991331100463867,2.591784954071045,2.3900420665740967,2.490664005279541,897427216,2004-08-19,-1.605229884809899,-1.6023280296015556,-1.6082121324125451,-1.6040905116398325,4.281968088565346
2.697638988494873,2.7168169021606445,2.5031180381774902,2.515820026397705,458857488,2004-08-20,-1.6024713039177378,-1.5886943704296792,-1.5957257807129375,-1.582314141095558,1.6988719711352158
2.7247869968414307,2.8264060020446777,2.7160699367523193,2.758410930633545,366857939,2004-08-23,-1.575869059075693,-1.5767446211088023,-1.572210684950323,-1.579335966877674,1.1570113212655946
2.611959934234619,2.779581069946289,2.5795810222625732,2.7706151008605957,306396159,2004-08-24,-1.5745307635386172,-1.5818504774497608,-1.5872823979345296,-1.5917132523361779,0.8009024081330524
2.640104055404663,2.689918041229248,2.5873019695281982,2.614201068878174,184645512,2004-08-25,-1.5916829498031222,-1.5916274599932168,-1.5864298165978787,-1.5886258031581886,0.0838131895166997
2.687675952911377,2.6886720657348633,2.606729030609131,2.6139519214630127,142572401,2004-08-26,-1.5917102710275546,-1.591763322910547,-1.5842845941097883,-1.5834070999354057,-0.1639897999142236
2.6438400745391846,2.705359935760498,2.632383108139038,2.6924080848693848,124826132,2004-08-27,-1.5831068566708697,-1.5899436541322038,-1.5814517567702078,-1.5882159566706702,-0.2685121041822707
2.540726900100708,2.6274020671844482,2.540726900100708,2.622170925140381,104429967,2004-08-30,-1.5908089843578348,-1.5984442895791549,-1.5915728429107106,-1.5995276151067774,-0.38864181505452755
2.5496931076049805,2.5830678939819336,2.5444629192352295,2.547950029373169,98825037,2004-08-31,-1.598947964043882,-1.6032785500729358,-1.5911602950616086,-1.5985440096915828,-0.4216538357142564
2.4968910217285156,2.5646369457244873,2.482445001602173,2.5579121112823486,183633734,2004-09-01,-1.597855533381985,-1.6052882865490599,-1.5980085893567018,-1.6043364718420419,0.07785400068846113
2.528273105621338,2.5496931076049805,2.4642629623413086,2.470489978790283,303810504,2004-09-02,-1.607442145792262,-1.6069177836396358,-1.6000163309980782,-1.600893813656587,0.7856733693620185
2.490912914276123,2.5340020656585693,2.4737279415130615,2.5143260955810547,103538639,2004-09-03,-1.6026351266854826,-1.6086287568846154,-1.59897116590162,-1.6049922785317696,-0.3938915752389714
2.5300168991088867,2.540477991104126,2.4809510707855225,2.515820026397705,117506800,2004-09-07,-1.6024713039177378,-1.6079226128814528,-1.5981735558418628,-1.6007025170892795,-0.3116216415358888
2.547950029373169,2.566132068634033,2.5031180381774902,2.5090949535369873,100186120,2004-09-08,-1.6032087678197129,-1.6051252562477627,-1.5957257807129375,-1.5987352277943425,-0.41363730381901315
